Part Name,function,price,link
dryer hose,exhaust,9.99,https://www.amazon.com/Steelsoft-Flexible-Exhaust-Aluminum-Ducting/dp/B0BXGYRN2P/ref=sr_1_10?crid=3VAOR24RDV5O1&dib=eyJ2IjoiMSJ9.YSXL4xXxG8eGXV-V3koMM8uYEB9n4KKnjjVEbSwezY0PMMx7UgNxvtZGWNggW4vbWlGD7zSa7b6_NkNS--4l3EtCGaEhz_OCAdvHJ0v3fE3wCP5HEL7xzcGpsHBKd-FAYgnM-q8j9zf-eRxbfjS_iWXv1kmY4tniMY6gs1Fqo7LUSaOPNkJ0yCdJOaEBjbARu3fdVy1eQb-mvAOcVrUTTrxiQzMwnwEiYN8PZqI36XeCIjOkxQWs_JmOyeA7_UA3hfHFZNsEVSNRkhOvDNM3tw6PA9plWTr4fxv5lQwnBdE.Uj_NDC7GSmmAYV48174lOOLG_NKk5oVZO4gwLALIQX8&dib_tag=se&keywords=dryer+vent&qid=1729458027&s=hi&sprefix=dryer+vent%2Ctools%2C94&sr=1-10
,,,
,,,
TOTAL,,264.62,
,,,
Additional Parts(optional),function,price,link
borosilicate glass tube,roast chamber outer tube,23,https://www.amazon.com/SUNWO-Borosilicate-Chimney-Hurricane-Holders/dp/B07J3XNPTX?th=1
potentiometers,heat fan controls,8.66,https://www.amazon.com/Taiss-Potentiometer-potentiometers-Assortment-Terminals/dp/B0B3126K2M/ref=sr_1_3?crid=6N66S1269U75&dib=eyJ2IjoiMSJ9.mEsGRn_1xbTHcKze-UbNK_nzISn-Drmn1X4HCLBziIZdDO0xmrYrf4eKxj02-GnnVrg53hpK7feMX72Bjm4HJIu8zdcc1kCo8tGvEDrmkHN1FyZ0ki9uaggymM72UBsfm6x2G5LNDI2hQVdrGTdnI68z6Py77doSAlafREbsgGkPTI5zoxqLvUq7AMRNsNCAxaapBfm1IcdKV0UGouJYq3BoKuv59V9zn1l3RSrgKrE.e1B5WjOhpf7tslU1K6pOo6XYfHekWS1A-pJmA2DS-UQ&dib_tag=se&keywords=potentiometer&qid=1729457631&sprefix=potentiomete%2Caps%2C97&sr=8-3&th=1
LCD display,display temps ect.,11.99,https://www.amazon.com/Hosyond-Display-Module-Arduino-Raspberry/dp/B0BWTFN9WF/ref=sr_1_3?crid=1YYKN7HU4P28R&dib=eyJ2IjoiMSJ9.25d0pPuL0Wi9nMKD3P8wiSw9UPJjIf9RrbbUgCSM3tliIOj71hnUzxzE3xooARn3ro2cxiDjGXijECyoWvoFLrsdUd7VCJ8dbsVzbISWtEiqloEOz7Ds8sEb3DX6iFgVnuKVGveKf4EnfQ-GIBvulAOyKvQ8P4lptPTSsroKBoLnL_1XjETX4OpOy7igxs71cB_RX_Vq4uCWhbL9dgNvgF7iVmeE-zwnt9FVfCIGUuc.kWo2h9z8qnnYcTzX7RPqMOnN28LLrmp19-O1_Shgss8&dib_tag=se&keywords=lcd%2Barduino&qid=1729457808&sprefix=lcd%2B%2Caps%2C93&sr=8-3&th=1
MAX 6675 thermocouple #2,ET probe,7.69,https://www.amazon.com/gp/product/B01HT871SO/ref=ewc_pr_img_1?smid=A30QSGOJR8LMXA&psc=1
Cyclone dust collector,chaff seperator,25.99,https://www.amazon.com/gp/product/B0CJBDHCQY/ref=ewc_pr_img_3?smid=A1J9VXUDDDTNDV&psc=1
2x1 adapter,step down exhaust,14.99,https://www.amazon.com/gp/product/B071YYP1QL/ref=ewc_pr_img_2?smid=A9R8MBSY7L1UV&psc=1
4x2 adapter,step down exhaust,14.59,https://www.amazon.com/gp/product/B0B7448NF3/ref=ewc_pr_img_3?smid=AIX60DP73AM0L&psc=1
aluminum tape,taping gaps,6.99,https://www.amazon.com/Aluminum-Ductwork-Temperature-Insulation-Adhesive/dp/B0B6NDFXPN/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.kv1_lQmqIWnEGC95v057v_r44eOvCZrG_-UeOTLPnnzTpnnBY8zPLhzf8e083C6949sv_tobyTBVZFULDPHSDS2ZstiKeqJyOROOnQIvaJPexfhx_by-yycqJfnEw4EKDZml7KhtFeu9UGVUOwyKEoPBZSMgBpIklIq-vkuqTDKUgP_9Aew2c-wxejRTuWM6gO1XgFVJ0n9dnREiMK-QmqT8wQCHMiXgVeDPOvuGwLI.O_9K7zg6tnRQbv3ZqOCYKNLlguEoQv_q56jma2LqAxE&dib_tag=se&keywords=aluminum+tape&qid=1729458177&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
,,,
,,,
TOTAL w/extras,,378.52,
